GenderSelect,Country,Age,EmployerIndustry,Gender Counts,,Age Counts,,Industry Counts,
"Non-binary, genderqueer, or gender non-conforming",,NA,Internet-based,Female,FALSE,18-24,3681,Internet-based,728
Female,United States,30,,Male,13610,25-29,4189,Technology,2253
Male,Canada,28,,"Non-binary, genderqueer, or gender non-conforming",74,30-39,3971,Mix of Fields,954
Male,United States,56,Mix of fields,,,40-49,1611,Academic,1643
Male,Taiwan,38,Technology,,,50-59,745,Government,561
Male,Brazil,46,Academic,,,60-69,238,CRM/Marketing,388
Male,United States,35,Government,30,22,70-79,51,Financial,1145
Female,India,22,Technology,31,5,80+,6,Hospitality/Entertainment/Sports,144
Female,Australia,43,Non-profit,32,7,,,Insurance,306
Male,Russia,33,Internet-based,33,6,,,Manufacturing,413
Female,Russia,20,,34,3,,,Military/Security,135
Male,India,27,Mix of fields,35,5,,,Non-Profit,175
Male,Brazil,26,Academic,36,3,,,Other,984
Male,Netherlands,54,,37,4,,,Pharmaceutical,188
Male,Taiwan,26,Financial,38,1,,,Retail,322
Male,United States,58,Technology,39,2,,,Telecommunication,0
Male,Italy,58,,,,,,,
Male,United Kingdom,24,,,,,,,
Male,United States,26,,,,,,,
Male,Brazil,39,,,,,,,
Male,United States,49,Retail,,,,,,
Male,United States,25,Academic,,,,,,
Male,United States,33,Telecommunications,,51,,,,
Male,Czech Republic,21,Academic,,,,,,
Male,United States,NA,Other,,,,,,
Male,Russia,22,Mix of fields,,,,,,
Male,Netherlands,51,Pharmaceutical,,,,,,
Male,Colombia,34,Financial,,,,,,
Male,Germany,41,Internet-based,,,,,,
Female,Canada,32,,,,,,,
Male,Denmark,53,Technology,,,,,,
Male,Poland,29,Pharmaceutical,,,,,,
Male,United Kingdom,36,Financial,,,,,,
Male,Russia,34,Military/Security,,,,,,
Male,United States,35,Technology,,,,,,
Female,South Africa,23,,,,,,,
Male,Sweden,48,,,,,,,
Male,Sweden,37,Technology,,,,,,
Female,Canada,30,Mix of fields,,,,,,
Male,United States,43,Financial,,,,,,
Male,United States,33,Technology,,,,,,
Male,United States,30,CRM/Marketing,,,,,,
Male,Portugal,30,Technology,,,,,,
Female,United States,22,,,,,,,
Male,Other,28,Financial,,,,,,
Male,Mexico,26,Technology,,,,,,
Male,New Zealand,34,Academic,,,,,,
Female,,24,,,,,,,
Male,United States,27,Mix of fields,,,,,,
Male,People 's Republic of China,25,,,,,,,
Male,People 's Republic of China,24,,,,,,,
Male,Japan,30,Technology,,,,,,
Male,New Zealand,32,Academic,,,,,,
Male,India,30,,,,,,,
Female,Japan,37,,,,,,,
Male,United States,63,Manufacturing,,,,,,
Female,Taiwan,22,,,,,,,
Male,Canada,40,,,,,,,
Male,Other,24,,,,,,,
Male,United States,32,Government,,,,,,
Male,Canada,34,Internet-based,,,,,,
Male,Iran,31,Technology,,,,,,
Male,Singapore,24,Hospitality/Entertainment/Sports,,,,,,
Male,India,54,Mix of fields,,,,,,
Male,Russia,59,,,,,,,
Male,India,29,Technology,,,,,,
Female,India,30,Technology,,,,,,
Male,France,25,Financial,,,,,,
Male,France,39,Pharmaceutical,,,,,,
Female,Germany,49,Technology,,,,,,
Male,United Kingdom,29,,,,,,,
Female,Russia,25,,,,,,,
Male,Spain,38,Mix of fields,,,,,,
Male,Germany,59,,,,,,,
Male,United Kingdom,41,Military/Security,,,,,,
Male,United States,40,Technology,,,,,,
Male,Indonesia,23,,,,,,,
Male,Israel,29,Financial,,,,,,
Male,Singapore,33,Government,,,,,,
Male,Germany,40,Mix of fields,,,,,,
Male,United States,25,CRM/Marketing,,,,,,
Male,Germany,44,Internet-based,,,,,,
Male,Colombia,40,Insurance,,,,,,
Male,Russia,37,Mix of fields,,,,,,
Male,United States,47,,,,,,,
Male,India,23,,,,,,,
Female,United States,31,Academic,,,,,,
Female,United States,NA,Government,,,,,,
Male,Brazil,32,,,,,,,
Female,United States,39,Insurance,,,,,,
Male,United States,44,,,,,,,
Male,Other,22,,,,,,,
Male,France,21,,,,,,,
Male,Other,21,,,,,,,
Male,Germany,24,,,,,,,
Male,Canada,35,Academic,,,,,,
Male,India,36,Technology,,,,,,
Male,Egypt,24,,,,,,,
Male,Colombia,47,Academic,,,,,,
Male,Hungary,40,Academic,,,,,,
Female,United States,30,CRM/Marketing,,,,,,
Male,Russia,24,,,,,,,
Male,India,27,Other,,,,,,
Male,India,22,,,,,,,
Male,India,19,,,,,,,
Male,India,21,,,,,,,
Male,United States,50,Insurance,,,,,,
Female,United States,36,,,,,,,
Male,France,36,Manufacturing,,,,,,
Male,United States,23,,,,,,,
Male,United States,59,Other,,,,,,
